Tst3.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
382473  00133.79,-00744.14, 00660.16, 00000.24,-00005.18, 00002.40, 00000.00, 00000.00, 00000.00, 00033.64,103215.54,14.96,1.02
382791  00126.22,-00726.56, 00685.55,-00002.30,-00000.03, 00000.06, 00000.00, 00000.00, 00000.00, 00033.68,99483.66,14.43,0.98
383105  00118.16,-00723.39, 00671.14, 00002.91, 00000.92, 00000.13, 00000.00, 00000.00, 00000.00, 00033.78,102804.53,14.89,1.01
383419  00104.25,-00747.56, 00689.45,-00004.53,-00000.96,-00003.07, 00000.00, 00000.00, 00000.00, 00033.68,99495.37,14.43,0.98
383733  00146.48,-00713.13, 00673.83,-00001.75, 00000.02,-00000.09, 00000.00, 00000.00, 00000.00, 00033.59,101620.28,14.74,1.00
384051  00118.16,-00676.76, 00647.22, 00020.14,-00005.77,-00000.12, 00000.00, 00000.00, 00000.00, 00033.64,99481.08,14.43,0.98
384365  00136.72,-00413.33, 00894.53, 00064.63,-00007.86,-00011.43, 00000.00, 00000.00, 00000.00, 00033.68,100463.41,14.58,0.99
384679  00125.24,-00219.48, 01041.50, 00020.10,-00006.27,-00012.30, 00000.00, 00000.00, 00000.00, 00033.78,100873.25,14.63,1.00
384993  00163.82,-00094.24, 00974.61,-00003.77,-00001.19, 00002.36, 00000.00, 00000.00, 00000.00, 00033.64,99501.71,14.43,0.98
385311  00202.39,-00139.89, 00964.36, 00000.41,-00001.88,-00002.92, 00000.00, 00000.00, 00000.00, 00033.35,101372.98,14.71,1.00
385625  00174.56,-00229.00, 01010.99,-00100.31, 00003.02, 00008.64, 00000.00, 00000.00, 00000.00, 00033.59,99489.28,14.43,0.98
385939  00148.44,-00775.15, 00596.92,-00140.26, 00020.55,-00001.24, 00000.00, 00000.00, 00000.00, 00033.68,100492.14,14.59,0.99
386253  00239.75,-00916.75, 00358.89,-00002.05,-00005.10,-00003.05, 00000.00, 00000.00, 00000.00, 00033.78,100526.21,14.53,0.99
386578  00199.95,-00916.50, 00375.00,-00000.78,-00001.89, 00000.40, 00000.00, 00000.00, 00000.00, 00033.64,100901.60,14.66,1.00
386892  00158.69,-00917.97, 00415.53, 00051.73,-00003.63,-00005.18, 00000.00, 00000.00, 00000.00, 00033.78,100898.45,14.62,0.99
387206  00259.03,-00624.76, 00751.22, 00083.13, 00004.43, 00001.71, 00000.00, 00000.00, 00000.00, 00033.78,99484.14,14.43,0.98
387520  00157.47,-00310.06, 00920.90, 00028.37, 00003.71,-00017.27, 00000.00, 00000.00, 00000.00, 00033.64,101079.62,14.65,1.00
387838  00218.02,-00261.96, 00947.02,-00041.70, 00003.37,-00009.79, 00000.00, 00000.00, 00000.00, 00033.44,99873.84,14.50,0.99
388152  00188.48,-00667.72, 00629.15,-00107.08, 00009.38, 00007.59, 00000.00, 00000.00, 00000.00, 00033.83,102280.69,14.83,1.01
388466  00187.50,-00957.52, 00357.42,-00013.51,-00003.85,-00009.68, 00000.00, 00000.00, 00000.00, 00033.64,99494.57,14.43,0.98
388780  00232.42,-00919.92, 00375.24, 00004.82,-00003.60, 00001.55, 00000.00, 00000.00, 00000.00, 00033.88,100933.00,14.66,1.00
389098  00203.12,-00900.39, 00431.64, 00007.73,-00000.85,-00001.65, 00000.00, 00000.00, 00000.00, 00033.68,100833.50,14.63,1.00
389412  00194.82,-00893.55, 00405.27, 00000.31, 00001.77, 00002.05, 00000.00, 00000.00, 00000.00, 00033.59,99505.52,14.43,0.98
389726  00184.33,-00880.13, 00413.82, 00001.39,-00003.07,-00002.19, 00000.00, 00000.00, 00000.00, 00033.59,100942.59,14.64,1.00
390040  00196.53,-00896.00, 00410.64, 00000.80,-00002.66,-00000.81, 00000.00, 00000.00, 00000.00, 00033.83,100334.95,14.55,0.99
390358  00220.21,-00865.97, 00445.80, 00002.15,-00005.23, 00000.69, 00000.00, 00000.00, 00000.00, 00033.35,99497.16,14.43,0.98
390672  00236.82,-00898.68, 00453.61, 00022.82,-00013.20,-00001.72, 00000.00, 00000.00, 00000.00, 00033.68,100060.87,14.51,0.99
390986  00199.46,-00558.11, 00714.60, 00109.00,-00003.28, 00012.18, 00000.00, 00000.00, 00000.00, 00033.44,99830.57,14.48,0.99
391300  00221.68,-00283.20, 00930.42, 00008.15, 00015.54, 00000.99, 00000.00, 00000.00, 00000.00, 00033.64,99500.80,14.43,0.98
391618  00214.11,-00293.21, 00905.76,-00001.37,-00001.15, 00006.38, 00000.00, 00000.00, 00000.00, 00033.59,99496.27,14.43,0.98
391932  00207.76,-00393.31, 00900.88,-00020.63,-00003.95,-00000.87, 00000.00, 00000.00, 00000.00, 00033.59,99996.96,14.50,0.99
392246  00215.33,-00628.91, 00735.35,-00095.82, 00007.02,-00007.57, 00000.00, 00000.00, 00000.00, 00033.64,99478.23,14.43,0.98
392560  00215.33,-00870.12, 00500.00,-00033.34, 00000.17, 00000.13, 00000.00, 00000.00, 00000.00, 00033.64,100402.30,14.56,0.99
