Test5.txt File Created
IMU Output: Scaled
Acc (mg) X, Y, Z, Gyr (DPS) X, Y, Z, Mag (uT) X, Y, Z, Temp, Pa, PSI, atm
584280 -00293.46,-00451.17, 00858.64,-00006.46, 00007.14, 00005.85, 00000.00, 00000.00, 00000.00, 00033.35,99474.58,14.43,0.98
584594 -00309.08,-00511.47, 00846.19,-00005.71, 00003.92,-00003.34, 00000.00, 00000.00, 00000.00, 00033.83,99491.88,14.43,0.98
584912 -00338.38,-00496.09, 00773.68, 00001.24, 00011.69, 00009.31, 00000.00, 00000.00, 00000.00, 00033.68,99498.93,14.43,0.98
585226 -00413.09,-00503.17, 00774.90,-00004.22, 00007.07, 00002.63, 00000.00, 00000.00, 00000.00, 00033.68,99490.66,14.43,0.98
585540 -00399.66,-00495.36, 00740.72,-00001.44, 00003.96, 00005.55, 00000.00, 00000.00, 00000.00, 00033.78,99494.60,14.43,0.98
585854 -00426.76,-00550.29, 00763.92,-00000.53,-00002.02,-00004.16, 00000.00, 00000.00, 00000.00, 00033.44,99491.60,14.43,0.98
586172 -00391.85,-00576.66, 00707.28,-00004.60, 00000.60,-00007.85, 00000.00, 00000.00, 00000.00, 00033.64,100302.39,14.55,0.99
586485 -00352.78,-00674.56, 00682.86,-00021.56, 00001.78,-00011.79, 00000.00, 00000.00, 00000.00, 00033.68,99488.84,14.43,0.98
586799 -00320.07,-00675.54, 00668.95,-00005.03,-00002.30,-00010.82, 00000.00, 00000.00, 00000.00, 00033.68,100545.21,14.58,0.99
587114 -00286.13,-00669.68, 00676.76, 00001.11,-00004.05,-00007.48, 00000.00, 00000.00, 00000.00, 00033.83,99530.81,14.44,0.98
587432 -00227.29,-00664.06, 00692.87, 00001.46,-00004.57,-00002.64, 00000.00, 00000.00, 00000.00, 00033.83,99454.62,14.43,0.98
587746 -00201.17,-00660.89, 00722.41,-00002.02, 00000.40,-00001.85, 00000.00, 00000.00, 00000.00, 00033.83,100561.16,14.59,0.99
588059 -00193.36,-00648.19, 00696.53,-00000.60,-00004.18,-00001.74, 00000.00, 00000.00, 00000.00, 00033.68,99492.07,14.43,0.98
588373 -00170.65,-00658.94, 00687.50,-00012.73,-00011.97,-00015.56, 00000.00, 00000.00, 00000.00, 00033.49,101135.91,14.67,1.00
588692 -00024.90,-00757.81, 00688.96,-00000.45,-00008.85,-00007.09, 00000.00, 00000.00, 00000.00, 00033.64,99491.36,14.43,0.98
589005 -00015.87,-00734.86, 00684.57, 00001.06,-00004.32, 00001.88, 00000.00, 00000.00, 00000.00, 00033.49,101774.83,14.76,1.00
589320 -00002.93,-00739.01, 00681.88, 00000.05,-00001.95,-00001.08, 00000.00, 00000.00, 00000.00, 00033.35,99471.19,14.43,0.98
589634 -00016.60,-00741.21, 00673.10,-00001.57,-00001.26,-00002.18, 00000.00, 00000.00, 00000.00, 00033.44,101090.81,14.69,1.00
589959 -00012.21,-00738.04, 00672.36,-00002.48, 00002.44,-00000.73, 00000.00, 00000.00, 00000.00, 00033.64,99430.65,14.43,0.98
590273 -00004.39,-00710.45, 00672.36, 00001.89, 00000.97, 00002.66, 00000.00, 00000.00, 00000.00, 00033.78,102357.41,14.85,1.01
590587 -00006.84,-00724.37, 00693.60, 00001.30,-00000.81, 00002.34, 00000.00, 00000.00, 00000.00, 00033.83,99927.04,14.47,0.98
590904  00017.33,-00746.34, 00687.26,-00004.53,-00001.99,-00001.05, 00000.00, 00000.00, 00000.00, 00033.78,101121.24,14.67,1.00
591217 -00001.95,-00725.83, 00687.99,-00001.90,-00001.86,-00002.19, 00000.00, 00000.00, 00000.00, 00033.49,99481.02,14.43,0.98
591531 -00012.45,-00725.10, 00672.85,-00002.40,-00002.09,-00003.58, 00000.00, 00000.00, 00000.00, 00033.68,101888.46,14.78,1.01
591845  00049.80,-00773.93, 00680.66, 00000.10,-00003.02,-00003.69, 00000.00, 00000.00, 00000.00, 00033.78,100713.11,14.60,0.99
592162 -00017.82,-00714.84, 00678.22, 00004.03, 00025.89, 00035.15, 00000.00, 00000.00, 00000.00, 00033.83,99487.38,14.43,0.98
592476 -00301.51,-00721.19, 00629.88,-00020.91, 00026.42, 00014.63, 00000.00, 00000.00, 00000.00, 00033.83,100534.50,14.59,0.99
592791 -00351.32,-00662.60, 00622.56, 00005.22, 00001.76, 00006.18, 00000.00, 00000.00, 00000.00, 00033.68,99899.77,14.47,0.98
593105 -00403.81,-00625.73, 00651.37, 00005.99,-00002.64, 00007.37, 00000.00, 00000.00, 00000.00, 00033.68,100030.04,14.53,0.99
593422 -00359.37,-00699.46, 00596.92,-00014.52,-00012.30,-00020.82, 00000.00, 00000.00, 00000.00, 00033.78,100115.17,14.50,0.99
593736 -00142.33,-00729.25, 00680.66,-00002.52,-00023.66,-00025.10, 00000.00, 00000.00, 00000.00, 00033.44,99486.42,14.43,0.98
594050 -00043.70,-00609.37, 00750.98, 00104.21,-00032.92, 00021.95, 00000.00, 00000.00, 00000.00, 00033.64,100242.31,14.53,0.99
594365  00102.29,-00105.71, 00882.32, 00102.75,-00049.36, 00018.71, 00000.00, 00000.00, 00000.00, 00033.64,99487.56,14.43,0.98
594683  00165.28, 00144.78, 00998.05, 00006.46, 00009.42, 00006.42, 00000.00, 00000.00, 00000.00, 00033.97,99677.70,14.46,0.98
594997  00114.01, 00068.36, 00976.07,-00005.05, 00003.13,-00006.47, 00000.00, 00000.00, 00000.00, 00033.68,99444.31,14.43,0.98
595311  00143.55, 00063.72, 00983.40,-00004.33,-00000.66,-00006.01, 00000.00, 00000.00, 00000.00, 00033.83,99492.33,14.43,0.98
595624  00139.16, 00193.60, 01009.03,-00081.69, 00018.82,-00013.92, 00000.00, 00000.00, 00000.00, 00033.35,100555.49,14.59,0.99
595942 -00221.92,-00716.31, 00821.78,-00131.05, 00026.52,-00040.90, 00000.00, 00000.00, 00000.00, 00033.78,99492.63,14.43,0.98
596256  00062.01,-00876.95, 00451.17,-00034.43, 00003.58,-00001.60, 00000.00, 00000.00, 00000.00, 00033.59,100349.43,14.57,0.99
596571  00049.32,-00918.70, 00431.64, 00003.23, 00002.53, 00002.40, 00000.00, 00000.00, 00000.00, 00033.59,100875.71,14.63,1.00
596885  00021.24,-00900.63, 00455.81, 00009.10,-00004.25,-00001.63, 00000.00, 00000.00, 00000.00, 00033.83,100560.49,14.57,0.99
597203  00066.16,-00868.41, 00502.44, 00004.08, 00001.83,-00002.21, 00000.00, 00000.00, 00000.00, 00033.64,101447.98,14.74,1.00
597517  00073.97,-00899.66, 00500.00, 00008.03,-00002.15,-00001.59, 00000.00, 00000.00, 00000.00, 00033.59,100398.57,14.56,0.99
597831  00069.58,-00885.74, 00496.34,-00003.38,-00000.47,-00004.07, 00000.00, 00000.00, 00000.00, 00033.88,99526.12,14.44,0.98
598145  00087.40,-00903.32, 00493.65, 00004.99,-00001.93, 00005.66, 00000.00, 00000.00, 00000.00, 00033.78,100353.73,14.55,0.99
598463  00093.02,-00856.93, 00504.64,-00005.92,-00002.40,-00004.58, 00000.00, 00000.00, 00000.00, 00033.68,99492.13,14.43,0.98
598777  00108.89,-00881.84, 00503.66, 00001.11,-00003.80,-00003.54, 00000.00, 00000.00, 00000.00, 00033.59,100619.54,14.60,0.99
599091  00121.58,-00846.68, 00525.63,-00000.56,-00006.18,-00001.54, 00000.00, 00000.00, 00000.00, 00033.49,99481.52,14.43,0.98
599405  00102.78,-00874.27, 00520.51,-00002.08,-00002.56,-00003.44, 00000.00, 00000.00, 00000.00, 00033.35,100817.89,14.63,1.00
599730  00136.47,-00844.73, 00518.55, 00000.50, 00000.56, 00002.44, 00000.00, 00000.00, 00000.00, 00033.30,99988.80,14.50,0.99
600044  00149.90,-00862.79, 00518.80,-00002.07, 00002.87,-00003.24, 00000.00, 00000.00, 00000.00, 00033.64,99474.00,14.43,0.98
600358  00144.29,-00881.10, 00502.20,-00004.34,-00001.43,-00001.27, 00000.00, 00000.00, 00000.00, 00033.88,100808.43,14.63,1.00
600672  00157.71,-00871.09, 00509.28,-00001.85, 00000.29,-00001.85, 00000.00, 00000.00, 00000.00, 00033.78,100527.56,14.57,0.99
600990  00149.41,-00862.06, 00517.09, 00003.39,-00000.87, 00001.76, 00000.00, 00000.00, 00000.00, 00033.64,99489.96,14.43,0.98
601304  00134.28,-00885.74, 00501.22,-00000.15,-00001.58,-00001.10, 00000.00, 00000.00, 00000.00, 00033.59,100877.02,14.63,1.00
601618  00148.68,-00836.43, 00519.29, 00000.70,-00001.98,-00000.24, 00000.00, 00000.00, 00000.00, 00033.68,99496.65,14.43,0.98
601932  00134.52,-00848.14, 00531.49, 00002.78, 00000.61,-00002.85, 00000.00, 00000.00, 00000.00, 00033.78,100205.73,14.55,0.99
602250  00119.38,-00834.96, 00520.02,-00015.98, 00004.16,-00009.37, 00000.00, 00000.00, 00000.00, 00033.44,101119.48,14.66,1.00
602564  00125.24,-00860.60, 00503.91, 00008.15,-00000.99, 00005.80, 00000.00, 00000.00, 00000.00, 00033.64,99499.93,14.43,0.98
602878  00138.18,-00842.53, 00516.60, 00002.33,-00003.24,-00003.76, 00000.00, 00000.00, 00000.00, 00033.49,100826.65,14.60,0.99
603192  00184.81,-00754.64, 00564.70, 00002.05, 00012.81,-00011.16, 00000.00, 00000.00, 00000.00, 00033.59,99494.80,14.43,0.98
603510  00222.66,-00965.58, 00422.12, 00002.56, 00024.00,-00020.88, 00000.00, 00000.00, 00000.00, 00033.64,99482.28,14.43,0.98
603823  00228.52,-00883.06, 00421.63,-00056.79, 00063.29,-00042.76, 00000.00, 00000.00, 00000.00, 00033.78,99495.22,14.43,0.98
604137  00238.28,-00875.98, 00423.58,-00004.45, 00034.85,-00020.69, 00000.00, 00000.00, 00000.00, 00033.78,99488.45,14.43,0.98
604451  00226.56,-00880.86, 00448.24, 00027.28, 00016.61,-00018.44, 00000.00, 00000.00, 00000.00, 00033.59,99486.80,14.43,0.98
604769  00247.80,-00818.60, 00512.94,-00036.69, 00072.51,-00018.14, 00000.00, 00000.00, 00000.00, 00033.88,99487.66,14.43,0.98
605084  00056.40,-00894.04, 00431.15,-00011.31, 00021.97,-00013.25, 00000.00, 00000.00, 00000.00, 00033.78,99491.78,14.43,0.98
605398  00177.49,-00858.15, 00536.13,-00007.54, 00024.24,-00001.60, 00000.00, 00000.00, 00000.00, 00033.68,99486.58,14.43,0.98
605711  00031.01,-00881.10, 00551.51,-00054.08, 00004.09,-00070.16, 00000.00, 00000.00, 00000.00, 00033.68,99489.54,14.43,0.98
